x,y
0,1.116
1,1.513
2,1.568
3,0.888
4,7.807
5,1.942
6,1.243
7,9.04
8,1.462
9,2.277
10,10.499
11,0.83
12,2.13
13,1.922
14,1.609
15,1.407
16,2.459
17,1.574
18,1.139
19,4.591
20,1.836
21,1.333
22,2.936
23,1.639
24,3.728
25,1.792
26,3.541
27,1.741
28,2.721
29,2.219
30,2.511
31,2.665
32,5.852
33,2.799
34,2.548
35,3.972
36,11.693
37,3.898
38,2.566
39,3.071
40,2.753
41,2.082
42,9.613
43,3.169
44,4.591
45,4.234
46,13.372
47,8.697
48,3.359
49,3.446
50,4.591
51,3.898
52,3.492
53,3.359
54,9.182
55,3.646
56,8.915
57,4.457
58,2.981
59,3.972
60,4.745
61,7.528
62,4.139
63,4.139
64,4.457
65,3.446
66,13.435
67,4.339
68,4.591
69,5.852
70,3.318
71,3.592
72,3.764
73,8.278
74,4.139
75,0.433
