x,y
0,1.116
1,1.401
2,0.784
3,3.241
4,2.18
5,2.494
6,1.243
7,0.931
8,2.981
9,3.636
10,2.118
11,2.494
12,1.228
13,4.26
14,3.843
15,1.685
16,3.219
17,2.362
18,2.874
19,1.407
20,1.574
21,1.999
22,1.749
23,3.01
24,2.094
25,2.082
26,1.962
27,1.333
28,1.818
29,3.04
30,2.059
31,1.864
32,4.885
33,1.792
34,1.749
35,3.972
36,4.591
37,3.636
38,1.809
39,1.18
40,1.654
41,4.212
42,1.161
43,2.219
44,2.529
45,5.746
46,2.926
47,2.585
48,6.579
49,2.317
50,2.687
51,4.745
52,3.972
53,4.987
54,4.139
55,2.41
56,2.426
57,4.234
58,2.73
59,2.799
60,2.799
61,3.703
62,3.592
63,4.457
64,4.591
65,3.541
66,3.492
67,3.703
68,3.898
69,3.492
70,3.703
71,3.646
72,3.541
73,3.703
74,3.646
75,2.529
76,3.764
77,3.401
78,2.442
79,2.953
80,4.139
81,3.972
82,3.446
83,4.234
84,3.492
85,4.234
86,4.139
87,4.591
88,0.216
