x,y
0,0.784
1,2.059
2,1.468
3,1.942
4,1.243
5,0.931
6,1.107
7,1.462
8,3.636
9,3.987
10,1.279
11,2.26
12,1.139
13,2.231
14,2.459
15,2.004
16,1.437
17,1.734
18,1.139
19,1.962
20,1.725
21,1.425
22,0.924
23,2.206
24,8.543
25,3.498
26,1.983
27,1.654
28,4.236
29,1.818
30,2.106
31,1.161
32,2.219
33,2.873
34,3.135
35,2.873
36,3.103
37,2.193
38,9.703
39,2.303
40,4.412
41,3.592
42,2.605
43,2.645
44,3.169
45,4.591
46,4.457
47,3.169
48,3.646
49,4.139
50,4.591
51,3.646
52,3.169
53,3.492
54,4.745
55,4.234
56,3.318
57,4.052
58,3.646
59,4.591
60,4.745
61,3.646
62,2.529
63,4.234
64,3.279
65,3.359
66,0.974
67,3.204
68,3.318
69,4.139
70,3.279
71,0.288
