x,y
0,2.775
1,2.246
2,1.568
3,1.284
4,1.942
5,2.487
6,4.457
7,2.13
8,1.818
9,1.993
10,2.849
11,0.83
12,1.228
13,1.401
14,4.26
15,2.106
16,2.874
17,0.867
18,2.665
19,2.998
20,2.277
21,3.619
22,1.792
23,2.753
24,5.331
25,2.529
26,1.468
27,1.425
28,0.924
29,1.864
30,2.442
31,2.155
32,6.997
33,2.529
34,1.171
35,1.143
36,4.212
37,2.323
38,2.529
39,2.799
40,2.246
41,2.219
42,4.234
43,2.332
44,2.873
45,2.193
46,2.303
47,4.412
48,2.708
49,8.104
50,2.566
51,3.071
52,2.41
53,5.746
54,2.082
55,4.457
56,2.41
57,4.591
58,3.204
59,2.981
60,3.764
61,3.318
62,4.139
63,3.241
64,4.052
65,4.234
66,4.339
67,4.745
68,4.139
69,3.898
70,3.204
71,4.234
72,3.318
73,4.234
74,4.745
75,3.898
76,2.548
77,3.646
78,2.899
79,3.764
80,3.204
81,2.981
82,0.974
83,3.241
84,1.295
85,2.118
86,4.591
87,2.926
88,3.492
89,4.234
90,3.703
91,0.288
