x,y
0,1.116
1,2.538
2,7.726
3,7.795
4,2.802
5,1.338
6,1.775
7,1.922
8,4.119
9,6.323
10,4.403
11,1.243
12,2.793
13,5.646
14,2.118
15,1.228
16,2.197
17,3.465
18,1.873
19,3.804
20,3.241
21,3.691
22,6.636
23,2.529
24,4.165
25,1.425
26,6.08
27,1.902
28,3.966
29,3.945
30,3.972
31,5.428
32,4.72
33,3.482
34,3.429
35,5.095
36,4.457
37,6.021
38,5.551
39,2.753
40,5.598
41,7.528
42,6.891
43,13.969
44,7.657
45,2.873
46,4.745
47,3.279
48,3.401
49,3.972
50,7.528
51,4.745
52,6.271
53,4.234
54,8.468
55,24.833
56,3.446
57,7.795
58,25.405
59,0.487
60,16.555
61,16.555
62,3.103
63,6.205
64,4.052
65,0.577
66,11.11
