x,y
0,2.394
1,1.116
2,1.269
3,4.591
4,2.585
5,1.401
6,0.784
7,1.654
8,2.645
9,1.338
10,0.888
11,1.922
12,2.332
13,1.873
14,2.569
15,1.107
16,4.457
17,1.462
18,2.605
19,3.636
20,3.987
21,3.492
22,1.139
23,2.625
24,2.489
25,1.228
26,1.468
27,1.733
28,1.401
29,1.733
30,3.843
31,3.071
32,1.766
33,3.04
34,1.395
35,2.873
36,1.437
37,1.333
38,2.848
39,2.303
40,1.407
41,1.999
42,1.685
43,2.708
44,1.792
45,2.362
46,1.902
47,2.193
48,2.071
49,3.071
50,2.936
51,3.071
52,1.725
53,0.924
54,2.059
55,5.248
56,1.18
57,2.037
58,1.143
59,10.529
60,2.721
61,2.605
62,4.492
63,2.219
64,2.246
65,2.873
66,2.459
67,2.926
68,2.585
69,4.386
70,2.426
71,4.634
72,4.412
73,2.687
74,2.494
75,2.848
76,3.071
77,2.753
78,2.775
79,2.753
80,2.494
81,2.378
82,4.457
83,2.082
84,2.73
85,4.139
86,2.511
87,4.052
88,3.972
89,4.591
90,4.234
91,4.591
92,4.139
93,4.234
94,3.592
95,4.139
96,4.052
97,4.339
98,3.764
99,3.446
100,4.745
101,2.981
102,3.492
103,3.04
104,3.592
105,3.972
106,3.492
107,2.799
108,3.318
109,4.234
110,4.052
111,4.591
112,3.646
113,2.529
114,3.169
115,4.052
116,3.446
117,4.234
118,3.401
119,3.169
120,3.071
121,0.487
122,3.204
123,3.541
124,4.745
125,1.295
126,2.118
127,4.139
128,3.492
129,3.071
130,0.505
