x,y
0,1.116
1,0.888
2,2.246
3,1.468
4,0.931
5,3.204
6,1.279
7,2.118
8,4.745
9,1.228
10,1.419
11,1.733
12,1.766
13,1.873
14,0.867
15,1.407
16,3.04
17,2.193
18,2.274
19,1.749
20,2.494
21,1.972
22,2.026
23,4.212
24,2.548
25,2.41
26,1.962
27,2.246
28,3.169
29,3.103
30,2.459
31,2.193
32,2.848
33,2.548
34,3.898
35,3.169
36,2.082
37,3.169
38,3.898
39,4.457
40,4.234
41,4.234
42,3.241
43,3.318
44,3.103
45,3.972
46,3.492
47,3.972
48,3.829
49,4.591
50,6.557
51,4.234
52,0.487
53,3.829
54,4.139
55,4.591
56,3.764
57,0.216
