x,y
0,3.04
1,1.116
2,1.269
3,1.513
4,0.784
5,1.338
6,0.888
7,2.426
8,1.581
9,2.569
10,2.18
11,1.602
12,1.107
13,2.037
14,1.248
15,3.492
16,1.993
17,1.279
18,1.443
19,4.492
20,1.378
21,5.505
22,0.744
23,1.902
24,0.83
25,1.733
26,1.401
27,3.296
28,2.459
29,1.733
30,1.922
31,3.747
32,2.687
33,3.601
34,0.867
35,2.167
36,2.277
37,1.725
38,2.476
39,1.836
40,3.829
41,2.529
42,1.775
43,1.993
44,3.883
45,3.541
46,1.639
47,2.442
48,1.171
49,3.646
50,2.548
51,4.457
52,2.106
53,2.721
54,1.161
55,7.381
56,2.873
57,2.873
58,2.873
59,2.645
60,5.095
61,2.687
62,2.317
63,2.476
64,2.548
65,2.775
66,2.753
67,3.169
68,4.052
69,2.981
70,2.548
71,2.981
72,3.401
73,3.169
74,4.339
75,3.703
76,3.541
77,4.339
78,3.898
79,3.829
80,4.339
81,3.898
82,3.169
83,3.592
84,4.457
85,3.169
86,2.848
87,4.339
88,2.981
89,3.646
90,3.318
91,3.829
92,6.984
93,3.446
94,3.646
95,4.745
96,4.234
97,4.745
98,3.241
99,2.926
100,0.487
101,3.492
102,3.972
103,4.139
104,4.457
105,3.446
106,4.745
107,3.492
108,3.646
109,0.361
110,3.541
