x,y
0,4.591
1,1.513
2,4.339
3,1.775
4,3.646
5,1.922
6,1.952
7,1.864
8,2.332
9,12.963
10,1.284
11,1.942
12,2.037
13,3.204
14,1.462
15,1.378
16,3.601
17,3.416
18,0.744
19,5.706
20,1.659
21,2.459
22,1.395
23,4.339
24,1.139
25,3.898
26,5.059
27,3.924
28,4.142
29,1.902
30,2.332
31,1.962
32,2.288
33,3.278
34,2.026
35,2.899
36,3.01
37,2.219
38,1.143
39,3.972
40,15.171
41,1.775
42,1.161
43,4.819
44,2.981
45,2.687
46,3.204
47,3.103
48,2.548
49,2.899
50,4.457
51,2.926
52,3.972
53,3.071
54,2.687
55,2.442
56,2.799
57,14.962
58,3.972
59,2.799
60,2.18
61,3.898
62,5.416
63,3.279
64,4.457
65,3.646
66,3.764
67,3.703
68,4.339
69,8.679
70,7.657
71,4.052
72,11.11
73,3.492
74,3.169
75,3.703
76,4.591
77,3.541
78,3.541
79,4.139
80,3.972
81,15.591
82,4.457
83,4.457
84,4.591
85,3.279
86,5.798
87,2.848
88,3.318
89,3.279
90,2.823
91,4.339
92,3.492
93,3.279
94,3.492
95,3.592
96,3.279
97,4.745
98,2.981
99,6.339
100,3.541
101,0.487
102,4.745
103,1.295
104,4.591
105,3.318
106,3.764
107,0.361
