x,y
0,1.401
1,0.784
2,1.654
3,1.864
4,2.645
5,3.972
6,1.468
7,0.931
8,1.248
9,2.13
10,3.718
11,1.468
12,2.106
13,2.362
14,3.148
15,1.749
16,1.139
17,1.792
18,2.665
19,6.579
20,4.618
21,3.278
22,2.848
23,1.972
24,5.059
25,4.052
26,2.511
27,2.193
28,3.541
29,4.576
30,2.848
31,2.753
32,2.799
33,18.062
34,7.293
35,4.139
36,2.753
37,2.41
38,7.277
39,3.04
40,2.73
41,2.981
42,3.071
43,2.585
44,8.104
45,3.135
46,3.541
47,4.745
48,3.646
49,8.679
50,4.339
51,3.279
52,3.103
53,4.745
54,2.953
55,3.972
56,7.407
57,4.052
58,5.963
59,4.234
60,9.508
61,4.339
62,0.974
63,4.745
64,3.972
65,3.359
66,4.591
67,4.457
68,3.241
69,4.745
70,3.592
71,3.829
72,0.361
