x,y
0,6.482
1,3.541
2,4.745
3,9.077
4,4.457
5,2.459
6,4.052
7,3.898
8,1.401
9,3.829
10,1.338
11,7.943
12,6.214
13,1.922
14,4.139
15,1.952
16,3.972
17,8.237
18,7.185
19,7.407
20,3.592
21,1.912
22,3.898
23,9.485
24,1.942
25,1.892
26,6.217
27,0.931
28,2.215
29,1.462
30,3.401
31,4.236
32,1.378
33,1.139
34,3.829
35,0.744
36,0.83
37,1.468
38,1.609
39,3.241
40,2.347
41,1.972
42,2.687
43,2.41
44,9.51
45,1.962
46,3.584
47,3.01
48,2.167
49,2.341
50,1.18
51,1.143
52,4.962
53,8.669
54,2.511
55,2.605
56,2.193
57,11.925
58,7.996
59,2.511
60,3.401
61,2.753
62,2.708
63,3.898
64,2.442
65,2.566
66,3.169
67,2.625
68,4.745
69,2.687
70,13.372
71,2.981
72,19.488
73,2.605
74,5.023
75,4.139
76,13.018
77,3.541
78,11.486
79,3.972
80,3.169
81,3.446
82,4.745
83,13.018
84,9.49
85,3.972
86,3.318
87,13.018
88,4.745
89,3.764
90,4.457
91,3.359
92,12.416
93,42.131
94,8.278
95,8.468
96,12.963
97,4.234
98,4.457
99,21.171
100,3.103
101,4.745
102,3.359
103,4.139
104,3.446
105,3.972
106,4.457
107,8.278
108,2.848
109,24.311
110,4.052
111,8.278
112,4.591
113,4.339
114,22.954
115,6.717
116,19.227
117,3.972
118,6.717
119,0.937
120,21.697
121,7.407
