x,y
0,3.541
1,1.873
2,3.241
3,1.912
4,1.468
5,1.248
6,1.462
7,1.279
8,2.886
9,4.234
10,1.228
11,1.099
12,2.848
13,1.437
14,1.734
15,1.845
16,1.942
17,2.873
18,2.233
19,4.339
20,4.745
21,1.902
22,6.212
23,3.169
24,0.924
25,2.332
26,2.426
27,2.059
28,2.585
29,8.619
30,2.494
31,1.809
32,1.18
33,4.457
34,2.548
35,2.246
36,2.219
37,4.745
38,4.457
39,2.687
40,9.406
41,4.745
42,2.548
43,3.592
44,3.972
45,2.605
46,2.775
47,2.442
48,2.41
49,4.457
50,3.898
51,4.457
52,3.972
53,4.234
54,7.943
55,4.745
56,8.915
57,3.972
58,4.745
59,3.492
60,3.071
61,3.646
62,3.972
63,4.457
64,3.492
65,9.49
66,3.972
67,4.339
68,3.241
69,4.234
70,3.492
71,3.829
72,4.052
73,4.139
74,3.592
75,4.139
76,3.703
77,4.339
78,4.591
79,4.339
80,4.591
81,4.457
82,4.745
83,0.487
84,4.457
85,4.591
86,10.477
87,4.591
88,3.829
89,3.279
90,4.591
91,4.139
92,6.142
93,4.457
94,3.829
95,0.361
