x,y
0,1.116
1,1.269
2,11.693
3,0.784
4,1.654
5,2.094
6,3.843
7,1.952
8,2.332
9,4.119
10,1.661
11,5.646
12,1.581
13,1.468
14,2.848
15,2.73
16,2.215
17,1.818
18,1.993
19,1.378
20,1.8
21,1.139
22,2.489
23,2.459
24,1.733
25,2.106
26,9.723
27,5.536
28,4.339
29,3.498
30,10.117
31,2.848
32,2.529
33,4.234
34,3.636
35,0.924
36,2.926
37,4.339
38,7.756
39,6.021
40,1.171
41,1.18
42,1.741
43,6.502
44,1.161
45,3.646
46,4.492
47,2.665
48,5.646
49,2.926
50,2.529
51,2.848
52,2.799
53,12.296
54,4.234
55,3.204
56,8.124
57,2.548
58,2.18
59,2.459
60,3.401
61,4.819
62,2.73
63,4.339
64,3.829
65,12.678
66,4.745
67,4.234
68,3.446
69,4.457
70,4.339
71,4.457
72,3.135
73,7.795
74,2.953
75,3.592
76,4.457
77,3.829
78,4.339
79,4.745
80,4.457
81,3.04
82,3.318
83,3.492
84,1.461
85,4.234
86,3.972
87,3.359
88,0.216
