x,y
0,1.513
1,1.568
2,1.338
3,2.059
4,12.089
5,1.862
6,1.107
7,12.818
8,3.898
9,5.21
10,1.443
11,3.204
12,2.494
13,3.492
14,5.481
15,2.981
16,1.228
17,1.419
18,4.952
19,1.902
20,0.867
21,1.685
22,6.021
23,5.21
24,2.41
25,1.962
26,1.902
27,2.687
28,2.193
29,2.193
30,1.818
31,0.924
32,1.758
33,0.924
34,3.703
35,10.412
36,1.864
37,2.341
38,3.646
39,2.026
40,2.286
41,1.818
42,2.848
43,1.361
44,3.549
45,5.886
46,2.219
47,13.477
48,2.585
49,2.799
50,2.585
51,2.775
52,2.332
53,2.442
54,2.605
55,3.071
56,2.645
57,2.73
58,4.745
59,4.745
60,4.745
61,4.339
62,9.182
63,3.829
64,4.745
65,4.591
66,3.169
67,3.446
68,7.293
69,4.339
70,5.598
71,4.745
72,4.457
73,3.972
74,4.234
75,3.541
76,3.359
77,3.592
78,3.446
79,4.339
80,1.461
81,1.295
82,3.898
83,4.234
84,8.679
85,0.577
