x,y
0,1.269
1,2.687
2,2.219
3,2.645
4,0.888
5,3.843
6,4.492
7,3.903
8,2.059
9,3.747
10,3.323
11,1.468
12,2.569
13,3.204
14,8.19
15,2.317
16,6.516
17,4.429
18,2.037
19,1.567
20,1.248
21,1.462
22,1.533
23,1.993
24,2.26
25,8.877
26,2.823
27,2.755
28,2.277
29,1.902
30,3.318
31,1.228
32,1.468
33,2.459
34,1.733
35,1.733
36,1.922
37,1.873
38,1.333
39,0.867
40,1.942
41,3.764
42,1.942
43,1.685
44,2.775
45,1.749
46,1.809
47,2.094
48,17.706
49,4.165
50,1.902
51,0.924
52,1.962
53,9.153
54,2.048
55,1.639
56,8.103
57,1.864
58,2.529
59,1.818
60,5.428
61,2.341
62,1.18
63,1.143
64,2.219
65,2.233
66,2.219
67,2.548
68,2.585
69,3.04
70,2.645
71,3.492
72,2.511
73,2.708
74,3.972
75,2.799
76,5.416
77,2.687
78,2.645
79,2.645
80,2.899
81,2.426
82,3.829
83,4.139
84,4.139
85,3.071
86,9.613
87,3.703
88,7.528
89,3.972
90,4.339
91,3.241
92,6.891
93,4.052
94,3.592
95,3.169
96,4.052
97,4.339
98,4.591
99,4.339
100,4.745
101,3.135
102,4.591
103,6.482
104,3.592
105,3.318
106,3.646
107,4.591
108,3.972
109,4.139
110,3.898
111,4.457
112,3.972
113,4.052
114,3.972
115,3.898
116,4.745
117,3.241
118,3.898
119,4.052
120,3.103
121,3.972
122,4.339
123,4.234
124,3.492
125,4.745
126,6.802
127,7.082
128,6.984
129,3.279
130,13.772
131,4.745
132,1.461
133,4.339
134,4.591
135,3.359
136,4.745
137,4.591
138,2.118
139,6.557
140,3.592
141,0.577
