x,y
0,2.953
1,0.784
2,3.169
3,4.03
4,1.468
5,1.567
6,2.981
7,7.815
8,5.117
9,2.118
10,4.457
11,3.416
12,2.975
13,3.279
14,3.071
15,1.419
16,4.139
17,3.843
18,1.609
19,2.476
20,2.874
21,0.867
22,2.347
23,0.999
24,1.685
25,2.094
26,3.592
27,27.937
28,1.333
29,1.468
30,3.449
31,2.771
32,3.04
33,8.86
34,4.591
35,1.972
36,5.223
37,1.143
38,2.687
39,2.193
40,4.492
41,2.687
42,4.457
43,2.753
44,3.898
45,2.585
46,3.898
47,2.566
48,2.799
49,2.548
50,2.926
51,5.171
52,3.446
53,3.972
54,3.703
55,4.457
56,3.646
57,4.139
58,3.541
59,4.745
60,4.745
61,2.823
62,3.318
63,3.764
64,3.829
65,4.591
66,15.887
67,11.486
68,3.241
69,4.591
70,4.139
71,4.591
72,3.898
73,3.592
74,0.288
